,hour,turb_on,turb_start,turb_gen,solar_gen,wind_gen,net_gen,net_out,elect_price,hourly_profit,fine
0,0,1,0,52,0.0,6.55,58.55,58.55,32.48,-698.2960000000003,0
1,1,0,0,0,0.0,8.76,8.76,8.76,32.4,283.82399999999996,0
2,2,0,0,0,0.0,8.76,8.76,8.76,32.14,281.5464,0
3,3,0,0,0,0.0,5.81,5.81,5.81,32.08,186.38479999999998,0
4,4,0,0,0,0.0,3.6,3.6,3.6,31.18,112.248,0
5,5,0,0,0,0.0,2.12,2.12,2.12,33.13,70.2356,0
6,6,1,1,52,0.0,0.65,52.65,52.65,35.16,-1182.1593333333335,0
7,7,1,0,52,6.37,0.0,58.37,58.37,35.53,-526.1138999999998,0
8,8,0,0,0,13.48,0.0,13.48,13.48,30.32,408.71360000000004,0
9,9,0,0,0,16.66,4.33,20.990000000000002,20.990000000000002,22.09,463.6691,0
10,10,0,0,0,18.51,17.9,36.41,36.41,16.8,611.688,0
11,11,0,0,0,18.99,46.88,65.87,65.87,13.71,903.0777000000002,0
12,12,0,0,0,18.97,57.42,76.39,76.39,12.35,943.4164999999999,0
13,13,0,0,0,9.37,54.78,64.15,64.15,12.11,776.8565,0
14,14,0,0,0,4.83,44.24,49.07,49.07,15.34,752.7338,0
15,15,0,0,0,14.44,33.71,48.15,48.15,28.1,1353.015,0
16,16,0,0,0,6.28,25.8,32.08,32.08,36.74,1178.6192,0
17,17,0,0,0,0.0,28.44,28.44,28.44,51.31,1459.2564000000002,0
18,18,0,0,0,0.0,31.07,31.07,31.07,51.77,1608.4939000000002,0
19,19,0,0,0,0.0,33.71,33.71,33.71,45.99,1550.3229000000001,0
20,20,0,0,0,0.0,36.34,36.34,36.34,41.48,1507.3832,0
21,21,0,0,0,0.0,33.71,33.71,33.71,44.05,1484.9254999999998,0
22,22,0,0,0,0.0,28.44,28.44,28.44,38.04,1081.8576,0
23,23,0,0,0,0.0,20.53,20.53,20.53,34.93,717.1129000000001,0
24,24,0,0,0,0.0,17.9,17.9,17.9,31.74,568.146,0
25,25,0,0,0,0.0,17.9,17.9,17.9,31.02,555.2579999999999,0
26,26,0,0,0,0.0,20.53,20.53,20.53,29.5,605.635,0
27,27,0,0,0,0.0,17.9,17.9,17.9,28.76,514.804,0
28,28,0,0,0,0.0,12.63,12.63,12.63,30.01,379.02630000000005,0
29,29,0,0,0,0.0,12.63,12.63,12.63,33.42,422.09460000000007,0
30,30,0,0,0,0.0,15.26,15.26,15.26,35.0,534.1,0
31,31,0,0,0,0.0,17.9,17.9,17.9,36.32,650.1279999999999,0
32,32,0,0,0,0.0,23.17,23.17,23.17,36.93,855.6681000000001,0
33,33,0,0,0,0.0,28.44,28.44,28.44,33.93,964.9692,0
34,34,0,0,0,0.04,33.71,33.75,33.75,31.83,1074.2625,0
35,35,0,0,0,1.27,36.34,37.61000000000001,37.61000000000001,31.35,1179.0735000000002,0
36,36,0,0,0,1.13,41.61,42.74,42.74,28.23,1206.5502000000001,0
37,37,0,0,0,5.16,44.24,49.400000000000006,49.400000000000006,28.21,1393.5740000000003,0
38,38,0,0,0,9.99,36.34,46.330000000000005,46.330000000000005,31.26,1448.2758000000003,0
39,39,0,0,0,7.82,17.9,25.72,25.72,35.84,921.8048,0
40,40,1,1,52,2.38,6.55,60.93,60.93,42.15,-465.1338333333336,0
41,41,1,0,52,0.0,5.07,57.07,57.07,55.25,553.1174999999998,0
42,42,1,0,52,0.0,3.6,55.6,55.6,57.64,604.7840000000001,0
43,43,1,0,52,0.0,2.12,54.12,54.12,54.12,328.9743999999996,0
44,44,1,0,52,0.0,2.12,54.12,54.12,48.55,27.52599999999984,0
45,45,0,0,0,0.0,1.38,1.38,1.38,45.18,62.3484,0
46,46,0,0,0,0.0,0.65,0.65,0.65,38.41,24.9665,0
47,47,0,0,0,0.0,0.0,0.0,0.0,36.43,0.0,0
48,48,0,0,0,0.0,0.0,0.0,0.0,32.71,0.0,0
49,49,0,0,0,0.0,0.0,0.0,0.0,30.92,0.0,0
50,50,0,0,0,0.0,0.0,0.0,0.0,30.4,0.0,0
51,51,0,0,0,0.0,0.0,0.0,0.0,29.8,0.0,0
52,52,0,0,0,0.0,0.0,0.0,0.0,30.67,0.0,0
53,53,0,0,0,0.0,0.0,0.0,0.0,36.03,0.0,0
54,54,1,1,52,0.0,0.0,52.0,52.0,48.26,-523.8133333333333,0
55,55,1,0,52,3.36,0.0,55.36,55.36,55.28,460.3008,0
56,56,1,0,52,6.2,0.0,58.2,58.2,47.26,150.53200000000015,0
57,57,1,0,52,6.55,0.0,58.55,58.55,41.51,-169.58950000000004,0
58,58,1,0,52,1.71,2.86,56.57,56.57,38.36,-429.97479999999996,0
59,59,1,0,52,0.75,5.07,57.82,57.82,35.68,-536.9823999999999,0
60,60,1,0,52,2.54,5.81,60.35,60.35,32.86,-616.8989999999999,0
61,61,1,0,52,6.02,6.55,64.57,64.57,34.99,-340.6957000000002,0
62,62,1,0,52,1.99,5.81,59.800000000000004,59.800000000000004,39.02,-266.6039999999998,0
63,63,1,0,52,1.57,1.38,54.95,54.95,41.45,-322.32249999999976,0
64,64,1,0,52,0.0,0.0,52.0,52.0,52.91,151.3199999999997,0
65,65,1,0,52,0.0,0.0,52.0,52.0,63.56,705.1199999999999,0
66,66,1,0,52,0.0,0.0,52.0,52.0,66.65,865.8000000000002,0
67,67,1,0,52,0.0,0.0,52.0,52.0,56.7,348.4000000000001,0
68,68,1,0,52,0.0,0.0,52.0,52.0,54.45,231.4000000000001,0
69,69,0,0,0,0.0,0.0,0.0,0.0,47.76,0.0,0
70,70,0,0,0,0.0,0.0,0.0,0.0,40.74,0.0,0
71,71,0,0,0,0.0,0.0,0.0,0.0,37.35,0.0,0
72,72,0,0,0,0.0,0.0,0.0,0.0,29.3,0.0,0
73,73,0,0,0,0.0,0.0,0.0,0.0,28.88,0.0,0
74,74,0,0,0,0.0,0.0,0.0,0.0,28.34,0.0,0
75,75,0,0,0,0.0,0.0,0.0,0.0,27.31,0.0,0
76,76,0,0,0,0.0,0.0,0.0,0.0,28.93,0.0,0
77,77,0,0,0,0.0,0.0,0.0,0.0,37.1,0.0,0
78,78,1,1,52,0.0,0.0,52.0,52.0,42.68,-813.9733333333331,0
79,79,1,0,52,8.04,0.65,60.69,60.69,47.17,262.7473,0
80,80,0,0,0,8.04,8.76,16.799999999999997,16.799999999999997,40.85,686.2799999999999,0
81,81,0,0,0,11.46,20.53,31.990000000000002,31.990000000000002,37.21,1190.3479000000002,0
82,82,0,0,0,8.08,33.71,41.79,41.79,35.83,1497.3356999999999,0
