,Sim,weekly_rev
0,0,82293.8
1,1,100124.44
2,2,58804.55
3,3,94030.37
4,4,107036.86
5,5,71338.38
6,6,75788.4
7,7,45047.07
8,8,79828.07
9,9,84057.25
10,10,84188.47
11,11,88049.25
12,12,60618.5
13,13,91273.38
14,14,98121.58
15,15,84525.05
16,16,93423.51
17,17,59113.47
18,18,92706.07
19,19,101344.9
20,20,98087.17
21,21,96707.7
22,22,74176.34
23,23,98104.68
24,24,103022.58
25,25,79966.11
26,26,95442.79
27,27,55310.72
28,28,91425.33
29,29,101981.42
30,30,67510.69
31,31,69606.75
32,32,40053.23
33,33,75723.04
34,34,77501.82
35,35,81860.77
36,36,83367.6
37,37,57124.66
38,38,88668.35
39,39,93066.15
40,40,82197.36
41,41,88741.85
42,42,55619.63
43,43,90101.03
44,44,96289.46
45,45,95759.47
46,46,92026.05
47,47,70682.51
48,48,95499.64
49,49,97967.15
50,50,86309.53
51,51,101197.51
52,52,61404.66
53,53,97482.5
54,54,108497.3
55,55,73854.11
56,56,75361.47
57,57,46147.18
58,58,81780.2
59,59,84017.69
60,60,86704.19
61,61,87622.32
62,62,61718.61
63,63,93225.52
64,64,98082.02
65,65,87040.78
66,66,92996.58
67,67,60213.58
68,68,94658.2
69,69,101305.34
70,70,100602.89
71,71,96280.77
72,72,75276.45
73,73,100056.81
74,74,102983.02
75,75,80678.79
76,76,96444.77
77,77,57275.15
78,78,91725.24
79,79,103332.43
80,80,68223.37
81,81,70608.73
82,82,42017.67
83,83,76022.95
84,84,78852.83
85,85,82573.45
86,86,84369.58
87,87,59089.1
88,88,88968.26
89,89,94417.15
90,90,82910.04
91,91,89743.83
92,92,57584.07
93,93,90400.94
94,94,97640.47
95,95,96472.15
96,96,93028.02
97,97,72646.94
98,98,95799.55
99,99,99318.15
100,100,79651.97
101,101,94338.43
102,102,56073.28
103,103,90139.02
104,104,100882.26
105,105,67196.55
106,106,68502.39
107,107,40815.8
108,108,74436.73
109,109,76402.66
110,110,80046.64
111,111,80763.24
112,112,56387.23
113,113,85882.04
114,114,90466.99
115,115,81883.22
116,116,87637.49
117,117,56382.19
118,118,88814.72
119,119,95190.31
120,120,95445.34
121,121,90921.68
122,122,71445.07
123,123,94213.33
124,124,96867.99
