INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2019-07-22T07:00:00-00:00,2019-07-22T08:00:00-00:00,7/22/2019,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.30504,1
2019-07-22T08:00:00-00:00,2019-07-22T09:00:00-00:00,7/22/2019,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,27.55658,1
2019-07-22T09:00:00-00:00,2019-07-22T10:00:00-00:00,7/22/2019,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.72127,1
2019-07-22T10:00:00-00:00,2019-07-22T11:00:00-00:00,7/22/2019,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.20043,1
2019-07-22T11:00:00-00:00,2019-07-22T12:00:00-00:00,7/22/2019,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.53165,1
2019-07-22T12:00:00-00:00,2019-07-22T13:00:00-00:00,7/22/2019,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.09175,1
2019-07-22T13:00:00-00:00,2019-07-22T14:00:00-00:00,7/22/2019,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.74531,1
2019-07-22T14:00:00-00:00,2019-07-22T15:00:00-00:00,7/22/2019,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.84281,1
2019-07-22T15:00:00-00:00,2019-07-22T16:00:00-00:00,7/22/2019,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,24.9797,1
2019-07-22T16:00:00-00:00,2019-07-22T17:00:00-00:00,7/22/2019,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,26.83538,1
2019-07-22T17:00:00-00:00,2019-07-22T18:00:00-00:00,7/22/2019,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,28.15792,1
2019-07-22T18:00:00-00:00,2019-07-22T19:00:00-00:00,7/22/2019,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,31.23998,1
2019-07-22T19:00:00-00:00,2019-07-22T20:00:00-00:00,7/22/2019,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.07231,1
2019-07-22T20:00:00-00:00,2019-07-22T21:00:00-00:00,7/22/2019,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.97822,1
