Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,83970,-,-,-,34.09,-117.34,-8,351,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2016,1,1,0,0,0,0,-11,0.14400000000000002,2.3000000000000003,42.28,2,970.0
2016,1,1,0,30,0,0,-11,0.14400000000000002,2.2,42.28,2,970.0
2016,1,1,1,0,0,0,-11,0.14400000000000002,2.2,42.85,2,970.0
2016,1,1,1,30,0,0,-11,0.14400000000000002,2.2,42.85,2,970.0
2016,1,1,2,0,0,0,-11,0.14400000000000002,2.2,42.99,2,970.0
2016,1,1,2,30,0,0,-11,0.14400000000000002,2.2,42.980000000000004,2,970.0
2016,1,1,3,0,0,0,-11,0.14400000000000002,2.3000000000000003,43.03,2,970.0
2016,1,1,3,30,0,0,-11,0.14400000000000002,2.3000000000000003,43.03,1,970.0
2016,1,1,4,0,0,0,-11,0.14400000000000002,2.4000000000000004,43.22,1,970.0
2016,1,1,4,30,0,0,-11,0.14400000000000002,2.4000000000000004,43.230000000000004,1,970.0
2016,1,1,5,0,0,0,-10,0.14400000000000002,2.5,43.67,1,970.0
2016,1,1,5,30,0,0,-10,0.14400000000000002,2.5,43.68,1,970.0
2016,1,1,6,0,0,0,-10,0.14400000000000002,2.6,44.410000000000004,1,970.0
2016,1,1,6,30,0,0,-10,0.14400000000000002,3.0,44.42,2,970.0
