Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,86715,-,-,-,34.37,-117.38,-8,1142,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.0
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure
2017,1,1,0,30,0,0,1,0.178,1.4000000000000001,100.0,1,880.0
2017,1,1,1,30,0,0,0,0.178,1.7000000000000002,99.58,1,880.0
2017,1,1,2,30,0,0,0,0.178,1.7000000000000002,99.71000000000001,1,880.0
2017,1,1,3,30,0,0,1,0.178,1.5,100.0,1,880.0
2017,1,1,4,30,0,0,1,0.178,1.4000000000000001,100.0,1,880.0
2017,1,1,5,30,0,0,1,0.178,1.2000000000000002,100.0,0,880.0
2017,1,1,6,30,0,0,0,0.178,1.3,99.94,0,890.0
2017,1,1,7,30,34,316,1,0.178,1.6,94.19,1,890.0
2017,1,1,8,30,65,669,1,0.178,1.8,86.16,3,890.0
2017,1,1,9,30,76,827,2,0.178,2.2,77.68,6,890.0
2017,1,1,10,30,74,919,2,0.178,3.2,66.89,8,890.0
2017,1,1,11,30,76,943,1,0.178,4.0,59.57,9,890.0
2017,1,1,12,30,76,942,0,0.178,4.3,53.32,9,890.0
2017,1,1,13,30,174,465,0,0.178,4.3,51.97,9,890.0
2017,1,1,14,30,155,240,0,0.178,4.1000000000000005,54.71,8,890.0
2017,1,1,15,30,48,717,0,0.178,3.3000000000000003,63.61,6,890.0
2017,1,1,16,30,19,312,1,0.178,2.4000000000000004,77.02,4,890.0
2017,1,1,17,30,0,0,1,0.178,2.7,92.48,3,890.0
2017,1,1,18,30,0,0,2,0.178,3.3000000000000003,97.53,3,890.0
2017,1,1,19,30,0,0,2,0.178,3.5,99.91,3,890.0
2017,1,1,20,30,0,0,3,0.178,3.6,94.72,3,890.0
2017,1,1,21,30,0,0,3,0.178,3.6,96.13,3,890.0
2017,1,1,22,30,0,0,3,0.178,3.5,97.42,3,890.0
2017,1,1,23,30,0,0,3,0.178,3.3000000000000003,98.51,3,890.0
2017,1,2,0,30,0,0,3,0.178,3.3000000000000003,99.99000000000001,4,890.0
2017,1,2,1,30,0,0,4,0.178,3.4000000000000004,100.0,4,890.0
2017,1,2,2,30,0,0,4,0.178,3.3000000000000003,100.0,4,890.0
2017,1,2,3,30,0,0,4,0.178,3.0,100.0,4,890.0
2017,1,2,4,30,0,0,4,0.178,2.7,100.0,4,890.0
2017,1,2,5,30,0,0,4,0.178,2.8000000000000003,100.0,4,890.0
2017,1,2,6,30,0,0,4,0.178,3.0,100.0,4,890.0
2017,1,2,7,30,16,0,4,0.178,3.1,100.0,4,890.0
2017,1,2,8,30,60,0,4,0.178,3.3000000000000003,95.08,4,890.0
2017,1,2,9,30,131,0,4,0.178,3.6,94.08,4,890.0
2017,1,2,10,30,155,2,3,0.178,3.7,92.97,5,890.0
2017,1,2,11,30,240,63,3,0.178,3.9000000000000004,91.47,5,890.0
2017,1,2,12,30,234,56,3,0.178,4.1000000000000005,84.61,6,890.0
2017,1,2,13,30,212,256,3,0.178,4.1000000000000005,77.75,7,890.0
2017,1,2,14,30,119,496,3,0.178,3.9000000000000004,82.32000000000001,6,890.0
2017,1,2,15,30,78,388,3,0.178,3.1,88.44,5,890.0
2017,1,2,16,30,21,118,3,0.178,2.3000000000000003,96.74000000000001,4,890.0
2017,1,2,17,30,0,0,3,0.178,2.0,98.4,3,890.0
2017,1,2,18,30,0,0,3,0.178,2.0,99.73,3,890.0
2017,1,2,19,30,0,0,4,0.178,2.0,100.0,3,890.0
2017,1,2,20,30,0,0,2,0.178,1.9000000000000001,100.0,3,890.0
2017,1,2,21,30,0,0,2,0.178,1.8,100.0,3,890.0
2017,1,2,22,30,0,0,3,0.178,1.8,99.38,3,890.0
2017,1,2,23,30,0,0,3,0.178,1.8,99.51,3,890.0
2017,1,3,0,30,0,0,3,0.178,1.8,99.32000000000001,3,890.0
2017,1,3,1,30,0,0,3,0.178,1.7000000000000002,99.43,3,890.0
2017,1,3,2,30,0,0,3,0.178,1.5,99.85000000000001,3,890.0
2017,1,3,3,30,0,0,3,0.178,1.3,99.77,3,890.0
2017,1,3,4,30,0,0,3,0.178,1.1,99.62,3,890.0
2017,1,3,5,30,0,0,3,0.178,0.9,99.51,3,890.0
2017,1,3,6,30,0,0,3,0.178,0.9,98.93,3,890.0
2017,1,3,7,30,33,167,3,0.178,1.2000000000000002,98.21000000000001,3,890.0
2017,1,3,8,30,98,308,3,0.178,1.5,91.42,4,890.0
2017,1,3,9,30,159,325,3,0.178,1.6,78.88,6,890.0
2017,1,3,10,30,222,85,3,0.178,1.8,72.48,8,890.0
2017,1,3,11,30,224,37,2,0.178,1.9000000000000001,65.54,9,890.0
2017,1,3,12,30,252,126,2,0.178,1.9000000000000001,60.59,9,890.0
2017,1,3,13,30,207,299,2,0.178,2.0,60.9,9,890.0
2017,1,3,14,30,162,99,3,0.178,1.9000000000000001,66.09,8,890.0
2017,1,3,15,30,92,78,3,0.178,1.3,73.48,7,890.0
2017,1,3,16,30,19,0,3,0.178,0.9,86.93,5,890.0
2017,1,3,17,30,0,0,3,0.178,0.9,90.85000000000001,4,890.0
2017,1,3,18,30,0,0,3,0.178,0.9,96.65,4,890.0
2017,1,3,19,30,0,0,2,0.178,0.9,100.0,3,890.0
2017,1,3,20,30,0,0,2,0.178,1.0,100.0,2,890.0
2017,1,3,21,30,0,0,2,0.178,1.1,100.0,2,890.0
2017,1,3,22,30,0,0,2,0.178,1.1,100.0,2,890.0
2017,1,3,23,30,0,0,2,0.178,1.1,100.0,1,890.0
2017,1,4,0,30,0,0,2,0.178,1.1,100.0,1,890.0
2017,1,4,1,30,0,0,2,0.178,1.3,100.0,1,890.0
2017,1,4,2,30,0,0,2,0.178,1.5,100.0,2,890.0
2017,1,4,3,30,0,0,2,0.178,1.7000000000000002,100.0,2,890.0
2017,1,4,4,30,0,0,2,0.178,1.8,100.0,2,890.0
2017,1,4,5,30,0,0,2,0.178,2.0,98.51,2,890.0
2017,1,4,6,30,0,0,2,0.178,2.2,99.06,2,890.0
2017,1,4,7,30,28,399,3,0.178,2.6,94.4,3,890.0
2017,1,4,8,30,88,399,3,0.178,3.2,86.96000000000001,5,890.0
2017,1,4,9,30,115,569,5,0.178,3.8000000000000003,82.26,7,890.0
2017,1,4,10,30,197,401,5,0.178,4.1000000000000005,80.65,8,890.0
2017,1,4,11,30,82,887,6,0.178,4.3,77.9,9,890.0
2017,1,4,12,30,82,880,6,0.178,4.3,80.57000000000001,10,890.0
2017,1,4,13,30,132,626,7,0.178,4.2,82.8,9,890.0
2017,1,4,14,30,135,416,7,0.178,4.0,89.77,9,890.0
2017,1,4,15,30,55,629,7,0.178,3.4000000000000004,96.12,8,890.0
2017,1,4,16,30,22,237,7,0.178,2.8000000000000003,100.0,6,890.0
2017,1,4,17,30,0,0,7,0.178,2.7,100.0,6,890.0
2017,1,4,18,30,0,0,6,0.178,2.7,100.0,6,890.0
2017,1,4,19,30,0,0,6,0.178,2.8000000000000003,100.0,6,890.0
2017,1,4,20,30,0,0,6,0.178,2.8000000000000003,100.0,6,890.0
2017,1,4,21,30,0,0,6,0.178,2.9000000000000004,100.0,6,890.0
2017,1,4,22,30,0,0,6,0.178,3.1,100.0,6,890.0
2017,1,4,23,30,0,0,6,0.178,3.4000000000000004,100.0,6,890.0
2017,1,5,0,30,0,0,6,0.178,3.6,99.87,6,890.0
2017,1,5,1,30,0,0,7,0.178,3.7,100.0,6,890.0
2017,1,5,2,30,0,0,7,0.178,3.7,100.0,6,890.0
2017,1,5,3,30,0,0,7,0.178,3.7,100.0,6,890.0
2017,1,5,4,30,0,0,7,0.178,3.6,100.0,7,890.0
2017,1,5,5,30,0,0,7,0.178,3.5,100.0,7,890.0
2017,1,5,6,30,0,0,7,0.178,3.5,100.0,7,890.0
2017,1,5,7,30,28,373,8,0.178,3.8000000000000003,100.0,7,890.0
2017,1,5,8,30,55,686,8,0.178,4.0,97.74000000000001,8,890.0
