,hour,batt_flow,batt_energy,turb_on,turb_start,turb_gen,solar_gen,wind_gen,net_gen,net_out,elect_price,hourly_profit,fine
0,0,40.0,120.0,0,0,0,0.0,6.55,6.55,46.55,32.48,1511.9439999999997,0
1,1,40.0,157.52,0,0,0,0.0,8.76,8.76,48.76,32.4,1579.8239999999998,0
2,2,-1.5,156.11,0,0,0,0.0,8.76,8.76,7.26,32.14,233.3364,0
3,3,-40.0,118.59,0,0,0,0.0,5.81,5.81,-34.19,32.08,-1096.8151999999998,0
4,4,-40.0,81.07,0,0,0,0.0,3.6,3.6,-36.4,31.18,-1134.952,0
5,5,40.0,118.59,0,0,0,0.0,2.12,2.12,42.12,33.13,1395.4356,0
6,6,40.0,156.11,0,0,0,0.0,0.65,0.65,40.65,35.16,1429.254,0
7,7,40.0,193.63,0,0,0,6.37,0.0,6.37,46.37,35.53,1647.5261,0
8,8,-1.67,192.07,0,0,0,13.48,0.0,13.48,11.81,30.32,358.0792,1500
9,9,-4.85,187.52,0,0,0,16.66,4.33,20.990000000000002,16.14,22.09,356.5326,0
10,10,-18.5,170.16,0,0,0,18.51,17.9,36.41,17.909999999999997,16.8,300.888,0
11,11,-40.0,132.64,0,0,0,18.99,46.88,65.87,25.870000000000005,13.71,354.6777000000001,0
12,12,-40.0,95.12,0,0,0,18.97,57.42,76.39,36.39,12.35,449.4165,0
13,13,-40.0,57.6,0,0,0,9.37,54.78,64.15,24.150000000000006,12.11,292.45650000000006,0
14,14,-31.17,28.36,0,0,0,4.83,44.24,49.07,17.9,15.34,274.58599999999996,0
15,15,-30.24,0.0,0,0,0,14.44,33.71,48.15,17.91,28.1,503.271,0
16,16,0.0,0.0,0,0,0,6.28,25.8,32.08,32.08,36.74,1178.6192,0
17,17,40.0,37.52,0,0,0,0.0,28.44,28.44,68.44,51.31,3511.6564,0
18,18,40.0,75.04,0,0,0,0.0,31.07,31.07,71.07,51.77,3679.2938999999997,0
19,19,40.0,112.56,0,0,0,0.0,33.71,33.71,73.71000000000001,45.99,3389.9229000000005,0
20,20,40.0,150.08,0,0,0,0.0,36.34,36.34,76.34,41.48,3166.5832,0
21,21,40.0,187.6,0,0,0,0.0,33.71,33.71,73.71000000000001,44.05,3246.9255000000003,0
22,22,40.0,225.12,0,0,0,0.0,28.44,28.44,68.44,38.04,2603.4575999999997,0
23,23,-40.0,187.6,0,0,0,0.0,20.53,20.53,-19.47,34.93,-680.0871,0
24,24,-40.0,150.08,0,0,0,0.0,17.9,17.9,-22.1,31.74,-701.4540000000001,0
25,25,-40.0,112.56,0,0,0,0.0,17.9,17.9,-22.1,31.02,-685.542,0
26,26,-40.0,75.04,0,0,0,0.0,20.53,20.53,-19.47,29.5,-574.365,0
27,27,-40.0,37.52,0,0,0,0.0,17.9,17.9,-22.1,28.76,-635.5960000000001,0
28,28,-40.0,0.0,0,0,0,0.0,12.63,12.63,-27.369999999999997,30.01,-821.3737,0
29,29,0.0,0.0,0,0,0,0.0,12.63,12.63,12.63,33.42,422.09460000000007,0
30,30,11.17,10.48,0,0,0,0.0,15.26,15.26,26.43,35.0,925.05,0
31,31,16.68,26.12,0,0,0,0.0,17.9,17.9,34.58,36.32,1255.9456,0
32,32,40.0,63.64,0,0,0,0.0,23.17,23.17,63.17,36.93,2332.8681,0
33,33,-2.01,61.76,0,0,0,0.0,28.44,28.44,26.43,33.93,896.7699,0
34,34,-7.27,54.94,0,0,0,0.04,33.71,33.75,26.48,31.83,842.8584,0
35,35,-9.91,45.64,0,0,0,1.27,36.34,37.61000000000001,27.700000000000006,31.35,868.3950000000002,0
36,36,-15.18,31.41,0,0,0,1.13,41.61,42.74,27.560000000000002,28.23,778.0188,0
37,37,-18.28,14.26,0,0,0,5.16,44.24,49.400000000000006,31.120000000000005,28.21,877.8952000000002,0
38,38,-15.21,0.0,0,0,0,9.99,36.34,46.330000000000005,31.120000000000005,31.26,972.8112000000002,0
39,39,5.41,5.08,0,0,0,7.82,17.9,25.72,31.13,35.84,1115.6992,0
40,40,40.0,42.6,0,0,0,2.38,6.55,8.93,48.93,42.15,2062.3995,0
41,41,40.0,80.12,1,1,52,0.0,5.07,57.07,97.07,55.25,2329.784166666666,0
42,42,40.0,117.64,1,0,52,0.0,3.6,55.6,95.6,57.64,2910.384,0
43,43,40.0,155.16,1,0,52,0.0,2.12,54.12,94.12,54.12,2493.7744000000002,0
44,44,40.0,192.68,1,0,52,0.0,2.12,54.12,94.12,48.55,1969.5259999999998,0
45,45,40.0,230.2,0,0,0,0.0,1.38,1.38,41.38,45.18,1869.5484000000001,0
46,46,10.45,240.0,0,0,0,0.0,0.65,0.65,11.1,38.41,426.35099999999994,0
47,47,-15.86,225.12,0,0,0,0.0,0.0,0.0,-15.86,36.43,-577.7798,0
48,48,-40.0,187.6,0,0,0,0.0,0.0,0.0,-40.0,32.71,-1308.4,0
49,49,-40.0,150.08,0,0,0,0.0,0.0,0.0,-40.0,30.92,-1236.8000000000002,0
50,50,-40.0,112.56,0,0,0,0.0,0.0,0.0,-40.0,30.4,-1216.0,0
51,51,-40.0,75.04,0,0,0,0.0,0.0,0.0,-40.0,29.8,-1192.0,0
52,52,-40.0,37.52,0,0,0,0.0,0.0,0.0,-40.0,30.67,-1226.8000000000002,0
53,53,-40.0,0.0,0,0,0,0.0,0.0,0.0,-40.0,36.03,-1441.2,0
54,54,12.0,11.26,0,0,0,0.0,0.0,0.0,12.0,48.26,579.12,0
55,55,40.0,48.78,0,0,0,3.36,0.0,3.36,43.36,55.28,2396.9408,0
56,56,10.88,58.98,0,0,0,6.2,0.0,6.2,17.080000000000002,47.26,807.2008000000001,0
57,57,10.53,68.86,0,0,0,6.55,0.0,6.55,17.08,41.51,708.9907999999999,0
58,58,12.0,80.11,0,0,0,1.71,2.86,4.57,16.57,38.36,635.6252,0
59,59,12.0,91.37,0,0,0,0.75,5.07,5.82,17.82,35.68,635.8176,0
60,60,12.0,102.63,0,0,0,2.54,5.81,8.35,20.35,32.86,668.701,0
61,61,11.06,113.0,0,0,0,6.02,6.55,12.57,23.630000000000003,34.99,826.8137000000002,0
62,62,12.0,124.25,0,0,0,1.99,5.81,7.8,19.8,39.02,772.5960000000001,0
63,63,12.0,135.51,0,0,0,1.57,1.38,2.95,14.95,41.45,619.6775,0
64,64,-40.0,97.99,1,1,52,0.0,0.0,52.0,12.0,52.91,-2398.4133333333334,0
65,65,40.0,135.51,1,0,52,0.0,0.0,52.0,92.0,63.56,3247.5200000000004,0
66,66,40.0,173.03,1,0,52,0.0,0.0,52.0,92.0,66.65,3531.8,0
67,67,40.0,210.55,1,0,52,0.0,0.0,52.0,92.0,56.7,2616.4000000000005,0
68,68,31.4,240.0,1,0,52,0.0,0.0,52.0,83.4,54.45,1941.13,0
69,69,0.0,240.0,0,0,0,0.0,0.0,0.0,0.0,47.76,0.0,0
70,70,0.0,240.0,0,0,0,0.0,0.0,0.0,0.0,40.74,0.0,0
71,71,-40.0,202.48,0,0,0,0.0,0.0,0.0,-40.0,37.35,-1494.0,0
72,72,-40.0,164.96,0,0,0,0.0,0.0,0.0,-40.0,29.3,-1172.0,0
73,73,-40.0,127.44,0,0,0,0.0,0.0,0.0,-40.0,28.88,-1155.2,0
74,74,-40.0,89.92,0,0,0,0.0,0.0,0.0,-40.0,28.34,-1133.6,0
75,75,-40.0,52.4,0,0,0,0.0,0.0,0.0,-40.0,27.31,-1092.3999999999999,0
76,76,-40.0,14.88,0,0,0,0.0,0.0,0.0,-40.0,28.93,-1157.2,0
77,77,-15.86,0.0,0,0,0,0.0,0.0,0.0,-15.86,37.1,-588.406,0
78,78,40.0,37.52,0,0,0,0.0,0.0,0.0,40.0,42.68,1707.2,0
79,79,40.0,75.04,0,0,0,8.04,0.65,8.69,48.69,47.17,2296.7073,0
80,80,40.0,112.56,0,0,0,8.04,8.76,16.799999999999997,56.8,40.85,2320.2799999999997,0
81,81,-2.02,110.67,0,0,0,11.46,20.53,31.990000000000002,29.970000000000002,37.21,1115.1837,0
82,82,-11.81,99.59,0,0,0,8.08,33.71,41.79,29.979999999999997,35.83,1074.1834,0
83,83,-29.5,71.92,0,0,0,17.87,41.61,59.480000000000004,29.980000000000004,34.31,1028.6138000000003,0
84,84,-32.0,41.9,0,0,0,17.73,44.24,61.97,29.97,29.92,896.7024,0
85,85,-21.61,21.63,0,0,0,12.61,38.98,51.589999999999996,29.979999999999997,31.45,942.8709999999999,0
86,86,-9.48,12.75,0,0,0,8.38,31.07,39.45,29.970000000000002,34.38,1030.3686000000002,0
87,87,2.28,14.88,0,0,0,12.67,17.9,30.57,32.85,38.87,1276.8795,0
88,88,40.0,52.4,0,0,0,4.77,8.76,13.53,53.53,43.63,2335.5139000000004,0
89,89,40.0,89.92,0,0,0,0.0,5.81,5.81,45.81,53.99,2473.2819000000004,0
90,90,40.0,127.44,0,0,0,0.0,5.81,5.81,45.81,53.59,2454.9579000000003,0
91,91,40.0,164.96,0,0,0,0.0,5.07,5.07,45.07,47.4,2136.3179999999998,0
92,92,40.0,202.48,0,0,0,0.0,5.07,5.07,45.07,44.5,2005.615,0
93,93,40.0,240.0,0,0,0,0.0,5.07,5.07,45.07,41.29,1860.9403,0
94,94,-15.86,225.12,0,0,0,0.0,6.55,6.55,-9.309999999999999,38.17,-355.36269999999996,0
95,95,-40.0,187.6,0,0,0,0.0,8.02,8.02,-31.98,36.26,-1159.5947999999999,0
96,96,-40.0,150.08,0,0,0,0.0,10.23,10.23,-29.77,30.08,-895.4816,0
97,97,-40.0,112.56,0,0,0,0.0,15.26,15.26,-24.740000000000002,28.45,-703.8530000000001,0
98,98,-40.0,75.04,0,0,0,0.0,15.26,15.26,-24.740000000000002,27.76,-686.7824,0
99,99,-40.0,37.52,0,0,0,0.0,15.26,15.26,-24.740000000000002,27.73,-686.0402,0
100,100,-40.0,0.0,0,0,0,0.0,17.9,17.9,-22.1,28.67,-633.6070000000001,0
101,101,0.0,0.0,0,0,0,0.0,15.26,15.26,15.26,35.93,548.2918,0
102,102,40.0,37.52,0,0,0,0.0,20.53,20.53,60.53,41.46,2509.5738,0
